company,url,status,http_status,title,error
SOMPOケア,https://www.sompocare.com/,ok,200,老人ホーム・介護サービス｜【公式】SOMPOケア,
ベネッセスタイルケア,https://kaigo.benesse-style-care.co.jp/,ok,200,有料老人ホームのベネッセスタイルケア,
ニチイケアパレス,https://www.nichii-carepalace.co.jp/,ok,200,介護付き有料老人ホーム・サービス付き高齢者向け住宅のニチイケアパレス,
ツクイ,https://corp.tsukui.net/,ok,200,株式会社ツクイ,
ケア21,https://www.care21.co.jp/,ok,200,総合福祉企業 ケア21,
チャーム・ケア・コーポレーション,https://www.charmcc.jp/,ok,200,【公式】介護付有料老人ホーム（介護施設) チャーム・ケア・コーポレーション,
木下の介護,https://www.kinoshita-kaigo.co.jp/,ok,200,【公式】木下の介護 | 東京、神奈川、埼玉、千葉の有料老人ホームと介護施設,
学研ココファン,https://www.cocofump.co.jp/,ok,200,【公式】サービス付き高齢者向け住宅の学研ココファン,
ニチイ学館,https://www.nichiigakkan.co.jp/,ok,200,ニチイ学館,
セントケア・ホールディング,https://www.saint-care.com/,ok,200,セントケア・ホールディング株式会社 - 質の高い介護サービスを提供,
